,CHNG_EMPTY1,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY.1,BID.1,ASK.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1,CHNG_EMPTY2
0,,,,,,,,,,,,"23,200.00",,4.85,5.8,,0.85,4.85,17.87,,888.0,,
1,,,,,,,,,,,,"23,250.00",75.0,4.9,8.25,75.0,0.65,4.9,17.44,604.0,182.0,223.0,
2,,1.0,1.0,1.0,,,-674.25,,,,,"23,300.00",900.0,4.65,23.0,150.0,0.95,4.75,16.9,692.0,105.0,182.0,
3,,,,,,,,,,,,"23,350.00",75.0,5.35,12.2,75.0,1.25,5.2,16.66,622.0,59.0,221.0,
4,,1.0,1.0,1.0,,,-665.65,,,,,"23,400.00",150.0,5.7,26.0,150.0,1.35,6.0,16.54,,241.0,626.0,
5,,,,,,,,,,,,"23,450.00",75.0,7.1,,,3.0,7.9,16.79,297.0,53.0,129.0,
6,,14.0,9.0,13.0,,,-247.0,,,,,"23,500.00",,6.65,8.45,75.0,3.0,7.85,16.28,,,,
7,,1.0,1.0,1.0,,,-682.7,,,,,"23,550.00",900.0,6.55,9.0,300.0,4.0,9.1,16.19,210.0,68.0,80.0,
8,,1.0,1.0,1.0,,,-688.7,,,,,"23,600.00",750.0,7.4,11.0,75.0,2.55,8.3,15.44,,386.0,962.0,
9,,1.0,1.0,1.0,,,-691.65,,,,,"23,650.00",750.0,7.5,10.4,300.0,4.0,10.45,15.57,398.0,-3.0,256.0,
10,,1.0,1.0,1.0,,,-697.35,,,,,"23,700.00",300.0,9.5,12.2,975.0,3.45,9.9,14.9,,472.0,,
11,,3.0,2.0,2.0,,,-250.1,,,,,"23,750.00",600.0,9.8,,,1.15,9.15,14.18,,211.0,213.0,
12,,7.0,7.0,42.0,,,-262.0,,,,,"23,800.00",300.0,11.2,13.45,75.0,4.75,12.5,14.5,,,,
13,,2.0,2.0,2.0,,,-242.6,,,,,"23,850.00",,12.5,,,6.35,14.9,14.48,,254.0,415.0,
14,,3.0,2.0,2.0,,988.6,-250.5,,,,,"23,900.00",225.0,14.9,15.9,75.0,6.1,15.15,13.97,,,,
15,,3.0,2.0,2.0,,948.55,-241.65,,,,,"23,950.00",375.0,16.0,,,,,,,,,
16,,460.0,334.0,466.0,,892.05,-237.95,225.0,885.95,896.0,75.0,"24,000.00",900.0,19.1,19.45,75.0,7.95,19.1,13.55,,,,
17,,2.0,1.0,1.0,,853.05,-239.4,,,,,"24,050.00",75.0,21.0,23.35,750.0,10.1,21.95,13.4,,260.0,328.0,
18,,21.0,20.0,97.0,,798.0,-249.7,75.0,769.9,821.1,75.0,"24,100.00",75.0,20.15,25.05,75.0,10.4,23.55,13.03,,,,
19,,4.0,3.0,3.0,,752.8,-246.95,,,,,"24,150.00",375.0,21.05,28.85,300.0,11.3,26.45,12.81,,,,
20,,22.0,21.0,73.0,,711.0,-239.8,225.0,679.75,704.8,75.0,"24,200.00",75.0,28.7,29.7,75.0,14.3,30.35,12.65,,,,
21,,20.0,19.0,105.0,,669.95,-232.9,150.0,635.15,680.75,75.0,"24,250.00",150.0,32.55,36.55,750.0,-72.7,32.85,12.29,,635.0,635.0,
22,,50.0,45.0,136.0,,617.0,-243.0,75.0,606.0,633.7,75.0,"24,300.00",75.0,36.65,37.25,75.0,17.4,37.6,12.12,,,,
23,,3.0,2.0,2.0,6.28,576.25,-219.85,525.0,528.5,580.15,150.0,"24,350.00",,41.75,44.15,75.0,21.45,44.0,12.04,,503.0,971.0,
24,,93.0,83.0,473.0,5.68,526.05,-218.95,75.0,509.15,535.9,75.0,"24,400.00",75.0,49.1,50.15,75.0,25.0,50.3,11.87,,,,
25,,49.0,48.0,208.0,7.02,484.5,-216.8,600.0,460.85,493.55,225.0,"24,450.00",,55.4,57.95,75.0,30.55,58.3,11.77,,600.0,,
26,,,,,6.97,438.55,-216.65,225.0,437.6,440.55,225.0,"24,500.00",75.0,65.5,65.9,75.0,33.1,65.55,11.54,,,,
27,,96.0,93.0,403.0,7.58,400.4,-208.05,75.0,398.5,405.1,75.0,"24,550.00",75.0,75.5,76.35,,38.6,75.3,11.42,,879.0,,
28,,,,,7.91,362.75,-203.55,225.0,358.8,364.1,225.0,"24,600.00",75.0,85.7,86.4,75.0,45.1,86.3,11.29,,,,
29,,156.0,155.0,,8.3,329.0,-198.3,75.0,324.4,327.95,75.0,"24,650.00",75.0,98.35,100.8,75.0,53.1,101.1,11.32,,952.0,,
30,,,,,8.22,291.0,-187.85,75.0,290.0,291.0,150.0,"24,700.00",75.0,114.15,115.95,75.0,59.15,114.25,11.15,,,,
31,,346.0,310.0,,8.5,261.05,-174.45,75.0,258.05,260.55,300.0,"24,750.00",150.0,129.95,133.9,75.0,68.8,133.1,11.22,,408.0,,
32,,,,,8.45,228.05,-167.9,75.0,228.05,229.75,75.0,"24,800.00",75.0,150.75,152.1,75.0,79.05,152.1,11.19,,,,
33,,,,,8.65,202.05,-153.9,75.0,200.1,202.4,375.0,"24,850.00",75.0,173.05,175.55,75.0,88.5,173.65,11.2,,,,
34,,,,,8.73,176.3,-145.1,150.0,174.7,176.2,150.0,"24,900.00",75.0,196.75,199.55,75.0,99.35,198.0,11.26,,,,
35,,,,,8.76,151.95,-135.55,75.0,152.5,153.3,300.0,"24,950.00",75.0,224.35,227.1,300.0,114.35,227.1,11.48,,582.0,,
36,,,,,8.79,130.2,-125.45,75.0,131.4,131.45,75.0,"25,000.00",75.0,253.05,256.0,75.0,123.2,253.25,11.44,,,,
37,,,,,9.12,116.05,-109.75,75.0,113.9,114.95,525.0,"25,050.00",75.0,286.0,288.7,225.0,136.1,286.05,11.66,,-72.0,,
38,,,,,9.14,98.4,-98.3,75.0,96.2,98.55,150.0,"25,100.00",75.0,317.1,320.0,75.0,147.4,317.95,11.74,,,,
39,,,,,9.26,84.5,-87.75,150.0,83.35,84.4,750.0,"25,150.00",75.0,354.15,358.55,75.0,162.2,358.25,12.21,,-278.0,,
40,,,,,9.24,70.25,-77.95,150.0,70.15,71.65,75.0,"25,200.00",75.0,389.85,394.7,150.0,170.65,392.3,12.25,,-629.0,,
41,,,,,9.54,62.35,-64.95,75.0,60.4,61.75,75.0,"25,250.00",75.0,430.8,436.7,75.0,184.1,432.55,12.57,,-93.0,,
42,,,,,9.66,53.15,-54.55,,50.35,51.85,375.0,"25,300.00",75.0,472.4,485.9,675.0,196.6,477.95,13.17,,-157.0,,
43,,,735.0,,9.76,45.0,-47.8,75.0,42.95,45.25,,"25,350.00",225.0,505.15,539.1,75.0,201.35,514.45,13.13,701.0,-157.0,176.0,
44,,,,,9.79,37.15,-40.55,375.0,36.85,38.65,,"25,400.00",75.0,548.05,575.65,75.0,212.65,561.4,13.74,,-421.0,569.0,
45,,,777.0,,10.04,32.7,-32.6,300.0,31.1,33.95,,"25,450.00",150.0,592.25,605.0,75.0,214.7,597.7,13.55,306.0,20.0,94.0,
46,,,,,10.17,27.8,-27.2,150.0,27.25,28.3,750.0,"25,500.00",75.0,649.0,657.6,75.0,220.85,648.05,14.33,,-465.0,827.0,
47,,,886.0,,10.21,22.8,-22.85,225.0,20.25,25.85,750.0,"25,550.00",150.0,679.85,719.55,75.0,217.15,680.0,13.62,39.0,2.0,49.0,
48,,,,,10.51,20.6,-17.75,75.0,20.0,21.6,75.0,"25,600.00",75.0,723.2,761.85,75.0,231.7,740.65,15.21,822.0,-364.0,397.0,
49,,,428.0,,10.76,18.3,-13.45,75.0,17.15,18.3,75.0,"25,650.00",,,864.4,900.0,222.75,781.9,15.18,8.0,-7.0,26.0,
50,,,913.0,,10.74,14.65,-12.2,750.0,14.5,15.4,75.0,"25,700.00",75.0,829.75,860.7,75.0,232.2,827.0,15.42,141.0,23.0,212.0,
51,,,492.0,,11.19,14.2,-8.25,75.0,12.0,14.05,150.0,"25,750.00",,,963.95,825.0,248.0,868.0,15.21,18.0,7.0,11.0,
52,,,963.0,,11.25,11.8,-7.3,600.0,11.2,12.35,75.0,"25,800.00",75.0,908.9,953.9,75.0,239.45,930.0,17.02,152.0,20.0,163.0,
53,,766.0,193.0,,11.62,11.15,-4.8,75.0,9.0,11.2,,"25,850.00",,,,,360.05,972.1,16.91,7.0,5.0,6.0,
54,,,396.0,,11.49,8.5,-5.0,525.0,8.25,9.8,,"25,900.00",75.0,,,75.0,200.3,,18.23,53.0,12.0,17.0,
55,,512.0,282.0,,11.65,7.35,-4.55,,7.3,9.15,750.0,"25,950.00",,,,,233.5,,17.74,1.0,1.0,3.0,
56,,,,,11.99,6.95,-3.65,75.0,6.9,7.2,75.0,"26,000.00",150.0,,,75.0,240.15,,18.57,90.0,18.0,133.0,
57,,,,,,,,75.0,5.0,10.0,900.0,"26,050.00",,,,,251.7,,19.09,2.0,2.0,3.0,
58,,,,,12.74,6.5,-297.75,75.0,5.1,6.4,300.0,"26,100.00",75.0,,,75.0,248.8,,19.6,26.0,6.0,11.0,
59,,503.0,503.0,773.0,13.24,6.7,-281.35,,3.7,7.45,225.0,"26,150.00",,,,,247.25,,20.16,1.0,1.0,2.0,
60,,,,,13.18,5.3,-0.95,75.0,3.6,5.6,300.0,"26,200.00",75.0,,,,250.75,,20.35,3.0,3.0,4.0,
61,,626.0,56.0,769.0,13.92,6.15,0.8,75.0,3.35,15.1,,"26,250.00",,,,,260.9,,21.99,3.0,3.0,5.0,
62,,338.0,338.0,898.0,13.07,3.3,-240.0,,3.05,4.65,450.0,"26,300.00",,,,,257.6,,22.53,1.0,1.0,3.0,
63,,,,,,,,75.0,2.8,4.35,150.0,"26,350.00",,,,,260.85,,23.1,1.0,1.0,2.0,
64,,769.0,16.0,,14.29,4.1,0.25,,2.9,4.45,225.0,"26,400.00",,,,,252.65,,22.6,1.0,1.0,2.0,
65,,78.0,53.0,435.0,13.94,2.8,-0.65,,2.4,4.5,900.0,"26,450.00",,,,,246.35,,22.29,1.0,1.0,3.0,
66,,,154.0,,14.61,3.25,-0.1,600.0,2.9,3.25,75.0,"26,500.00",,,,,242.6,,23.71,8.0,5.0,17.0,
67,,107.0,-35.0,219.0,15.06,3.35,0.05,,2.0,4.85,900.0,"26,550.00",,,,,250.95,,23.93,1.0,1.0,2.0,
68,,354.0,-23.0,752.0,15.51,3.45,0.7,450.0,2.2,3.45,75.0,"26,600.00",,,,,253.75,,24.8,1.0,1.0,2.0,
69,,14.0,6.0,11.0,15.31,2.6,-0.15,,1.7,3.8,600.0,"26,650.00",,,,,,,,,,1.0,
70,,134.0,,402.0,15.18,2.0,-0.55,450.0,2.0,2.85,300.0,"26,700.00",,,,,249.55,,25.26,6.0,6.0,7.0,
71,,143.0,,21.0,15.85,2.35,-0.55,,1.55,3.85,600.0,"26,750.00",,,,,,,,,,1.0,
72,,192.0,19.0,360.0,16.69,2.95,0.8,900.0,1.85,3.15,450.0,"26,800.00",,,,,,,,,,1.0,
73,,1.0,,,,3.35,,,1.5,3.3,600.0,"26,850.00",,,,,,,,,,1.0,
74,,145.0,35.0,142.0,16.76,2.15,0.15,525.0,2.0,2.15,975.0,"26,900.00",,,,,,,,,,1.0,
75,,88.0,56.0,79.0,17.43,2.5,0.1,,1.55,2.5,75.0,"26,950.00",,,,,,,,,,1.0,
76,,,28.0,,17.21,1.9,,,1.9,2.2,225.0,"27,000.00",,,,,355.2,,28.21,10.0,10.0,11.0,
77,,34.0,,12.0,17.87,2.2,-0.1,825.0,1.75,2.7,,"27,050.00",,,,,,,,,,1.0,
78,,183.0,16.0,213.0,17.8,1.8,,675.0,1.8,2.0,975.0,"27,100.00",,,,,,,,,,1.0,
79,,65.0,3.0,21.0,19.29,3.0,1.25,75.0,1.65,2.55,,"27,150.00",,,,,,,,,,1.0,
80,,639.0,98.0,402.0,18.31,1.65,0.05,,1.65,1.95,300.0,"27,200.00",,,,,,,,,,1.0,
81,,69.0,29.0,62.0,19.8,2.75,1.1,75.0,1.7,2.9,900.0,"27,250.00",,,,,,,,,,1.0,
